Brand_Name,Therapeutic_Area,TA Notes,Disease,Disease - level 2,Indication,Approval_Year,Enrollment,Sex_comparison,Race_comparison,Age_comparison,Race_detail,Women,White,Black,Asian,Hispanic,Other,Age_65_or_older,Age_75_or_older,Age_80_or_older,United_States,FDA_provided_TA
RADICAVA,Neurology,,Other Neurology,,Treatment of amyotrophic lateral sclerosis,2017,368,,,,,39,0,0,100,0,,30,,,0,Yes
ADAKVEO,Hematology,,Sickle Cell,,Treatment of vasooclusive crisis in sickle cell disease ,2019,132,yes,no,no,no - black majority,55,5,91,,24,,0,,,75,Yes
XERMELO,Gastroenterology,(or Oncology),,,Treatment of carcinoid syndrome diarrhea,2017,90,,,,,50,90,1,0,0,,49,,,32,No. Dr. Bierer reviewed TA label
AUSTEDO,Neurology,,Other Neurology,,Treatment of chorea associated with Huntington's disease,2017,90,,,,,44,92,6,0,0,,19,,,93,Yes
PRETOMANID,Infectious Diseases,,Other Infectious Diseases,,Treatment of lung tuberculosis ,2019,109,yes,no,yes,no - black majority,48,1,76,,,,0,,,0,No. Dr. Bierer reviewed TA label
MOXIDECTIN,Infectious Diseases,,Other Infectious Diseases,,Treatment of onchocerciasis in patients twelve years of age and older ,2018,1472,yes,no,yes,no - black majority,36,0,100,0,0,,9,,,0,Yes
GENVOYA-1,Infectious Diseases,,HIV-1,,Complete regimen for the treatment of HIV-1 in children twelve years of age and older ,2015,23,,,,,48,0,83,17,,0,0,0,0,,No. Dr. Bierer reviewed TA label
YONDELIS,Oncology,,Other oncology,,Treatment of certain types of advances tissue sarcoma ,2015,518,,,,,70,76,12,4,,8,22,3,1,,Yes
CAPLYTA,Psychiatry,,Schizophrenia,,Treatment of schizophrenia ,2019,818,yes,yes,yes,yes,24,21,75,1,9,,0,,,100,Yes
OXBRYTA,Hematology,,Sickle Cell,,Treatment of sickle cell disease ,2019,182,yes,no,no,no - black majority,59,24,67,1,3,,0,,,36,Yes
XADAGO,Neurology,,Parkinson's,,Treatement of Parkinson's disease,2017,1218,,,,,33,41,1,59,2,,38,,,8,Yes
ZULRESSO,Psychiatry,,Postpartum depression,,Treatment of postpartum depression ,2019,247,n/a - women,yes,yes,yes,100,61,36,1,17,,0,,,100,Yes
POTELIGEO,Oncology,,Lymphoma,,Treatment of adults with mycosis fungoides or Sezary syndrome ,2018,372,yes,no,yes,no - white majority,42,70,10,5,4,,50,,,54,Yes
DARZALEX,Oncology,,Multiple Myeloma,,Treatment of multiple myeloma ,2015,156,,,,,46,76,10,6,,8,45,10,3,,Yes
VITRAKVI,Oncology,,Other oncology,,Treatment of solid tumors which are metastatic and beyond surgical resection or do not have any other therapeutic options ,2018,176,yes,no,no,no - white majority,48,72,8,3,11,,21,,,88,Yes
EPIDIOLEX,Neurology,,Seizures,,Treatment of seizures in two rare and severe forms of epilepsy. ,2018,550,yes,no,yes,no - white majority,46,86,4,2,2,,0,,,75,Yes
SOLOSEC,Infectious Diseases,,Other Infectious Diseases,,Treatment of bacterial vaginosis,2017,333,,,,,100,46,50,1,15,,0,,,100,Yes
LARTRUVO,Oncology,,Other oncology,,Treatment of soft tissue sarcoma ,2016,133,,,,,56,86,8,3,,2,32,,,,No. Dr. Bierer reviewed TA label
XEPI,Infectious Diseases,,Other Infectious Diseases,,Treatment of inpetigo,2017,723,,,,,44,53,34,4,17,,3,,,23,Yes
UNITUXIN,Oncology,,Other oncology,,Treatment of children with high-risk neuroblastoma ,2015,226,,,,,40,82,7,3,,8,,,,,Yes
ERLEADA,Oncology,,Prostate cancer,,Treatment of prostate cancer that has not spread to other parts of the body (non-metastatic) ,2018,1207,n/a - men,yes,yes,yes,0,66,6,12,1,,88,,,28,Yes
